"","subject","item","region","measure","proficiency","sort","condition","skips","rawdata","nozero","ambiguity","gender"
"8581",11,17,"disamb","fp",75,"disamb fp",3,0,244,244,"Unambiguous","Match"
"8583",11,4,"disamb","fp",75,"disamb fp",2,0,354,354,"Ambiguous","Mismatch"
"8585",11,11,"disamb","fp",75,"disamb fp",1,0,450,450,"Ambiguous","Match"
"8587",11,6,"disamb","fp",75,"disamb fp",4,0,302,302,"Unambiguous","Mismatch"
"8589",11,8,"disamb","fp",75,"disamb fp",2,0,354,354,"Ambiguous","Mismatch"
"8591",11,23,"disamb","fp",75,"disamb fp",1,0,848,848,"Ambiguous","Match"
"8593",11,5,"disamb","fp",75,"disamb fp",3,0,350,350,"Unambiguous","Match"
"8595",11,7,"disamb","fp",75,"disamb fp",1,0,384,384,"Ambiguous","Match"
"8597",11,13,"disamb","fp",75,"disamb fp",3,0,356,356,"Unambiguous","Match"
"9415",12,14,"disamb","fp",63,"disamb fp",3,0,277,277,"Unambiguous","Match"
"9417",12,7,"disamb","fp",63,"disamb fp",4,0,188,188,"Unambiguous","Mismatch"
"9419",12,11,"disamb","fp",63,"disamb fp",4,0,368,368,"Unambiguous","Mismatch"
"9421",12,19,"disamb","fp",63,"disamb fp",4,1,0,NA,"Unambiguous","Mismatch"
"9423",12,24,"disamb","fp",63,"disamb fp",1,0,262,262,"Ambiguous","Match"
"9425",12,18,"disamb","fp",63,"disamb fp",3,0,175,175,"Unambiguous","Match"
"9427",12,15,"disamb","fp",63,"disamb fp",4,0,229,229,"Unambiguous","Mismatch"
"9429",12,20,"disamb","fp",63,"disamb fp",1,0,150,150,"Ambiguous","Match"
"9431",12,22,"disamb","fp",63,"disamb fp",3,1,0,NA,"Unambiguous","Match"
"9433",12,23,"disamb","fp",63,"disamb fp",4,0,546,546,"Unambiguous","Mismatch"
"9435",12,2,"disamb","fp",63,"disamb fp",3,0,172,172,"Unambiguous","Match"
"9437",12,6,"disamb","fp",63,"disamb fp",3,0,266,266,"Unambiguous","Match"
"9439",12,3,"disamb","fp",63,"disamb fp",4,0,207,207,"Unambiguous","Mismatch"
"9441",12,4,"disamb","fp",63,"disamb fp",1,0,417,417,"Ambiguous","Match"
"9443",12,9,"disamb","fp",63,"disamb fp",2,0,223,223,"Ambiguous","Mismatch"
"9445",12,1,"disamb","fp",63,"disamb fp",2,0,483,483,"Ambiguous","Mismatch"
"9447",12,13,"disamb","fp",63,"disamb fp",2,0,218,218,"Ambiguous","Mismatch"
"9449",12,16,"disamb","fp",63,"disamb fp",1,0,193,193,"Ambiguous","Match"
"9451",12,8,"disamb","fp",63,"disamb fp",1,0,741,741,"Ambiguous","Match"
"9453",12,5,"disamb","fp",63,"disamb fp",2,0,501,501,"Ambiguous","Mismatch"
"9455",12,21,"disamb","fp",63,"disamb fp",2,0,429,429,"Ambiguous","Mismatch"
"9457",12,10,"disamb","fp",63,"disamb fp",3,0,139,139,"Unambiguous","Match"
"9459",12,17,"disamb","fp",63,"disamb fp",2,0,1180,1180,"Ambiguous","Mismatch"
"9461",12,12,"disamb","fp",63,"disamb fp",1,0,275,275,"Ambiguous","Match"
"10280",13,7,"disamb","fp",70,"disamb fp",2,0,536,536,"Ambiguous","Mismatch"
"10282",13,3,"disamb","fp",70,"disamb fp",2,0,544,544,"Ambiguous","Mismatch"
"10284",13,20,"disamb","fp",70,"disamb fp",3,0,362,362,"Unambiguous","Match"
"10286",13,23,"disamb","fp",70,"disamb fp",2,0,204,204,"Ambiguous","Mismatch"
"10288",13,2,"disamb","fp",70,"disamb fp",1,0,514,514,"Ambiguous","Match"
"10290",13,13,"disamb","fp",70,"disamb fp",4,0,322,322,"Unambiguous","Mismatch"
"10292",13,24,"disamb","fp",70,"disamb fp",3,1,0,NA,"Unambiguous","Match"
"10294",13,11,"disamb","fp",70,"disamb fp",2,0,346,346,"Ambiguous","Mismatch"
"10296",13,14,"disamb","fp",70,"disamb fp",1,0,650,650,"Ambiguous","Match"
"10298",13,8,"disamb","fp",70,"disamb fp",3,0,324,324,"Unambiguous","Match"
"10300",13,15,"disamb","fp",70,"disamb fp",2,0,760,760,"Ambiguous","Mismatch"
"10302",13,4,"disamb","fp",70,"disamb fp",3,0,312,312,"Unambiguous","Match"
