"","subject","item","region","measure","proficiency1","proficiency2","sort","condition","skips","rawdata","nozero","ambiguity","continuation","trimmed_nozero"
"9628",12,29,"spillover2","fp",63,"High","spillover2 fp",6,0,358,358,"Unambiguous","Consistent",358
"9630",12,30,"spillover2","fp",63,"High","spillover2 fp",7,0,391,391,"Ambiguous","Inconsistent",391
"9632",12,45,"spillover2","fp",63,"High","spillover2 fp",6,0,287,287,"Unambiguous","Consistent",287
"9634",12,27,"spillover2","fp",63,"High","spillover2 fp",8,0,218,218,"Unambiguous","Inconsistent",218
"9636",12,46,"spillover2","fp",63,"High","spillover2 fp",7,0,110,110,"Ambiguous","Inconsistent",110
"9638",12,41,"spillover2","fp",63,"High","spillover2 fp",6,0,183,183,"Unambiguous","Consistent",183
"9640",12,37,"spillover2","fp",63,"High","spillover2 fp",6,0,197,197,"Unambiguous","Consistent",197
"9642",12,32,"spillover2","fp",63,"High","spillover2 fp",5,0,406,406,"Ambiguous","Consistent",406
"9644",12,42,"spillover2","fp",63,"High","spillover2 fp",7,0,128,128,"Ambiguous","Inconsistent",128
"9646",12,47,"spillover2","fp",63,"High","spillover2 fp",8,0,812,812,"Unambiguous","Inconsistent",812
"9648",12,48,"spillover2","fp",63,"High","spillover2 fp",5,0,403,403,"Ambiguous","Consistent",403
"9650",12,39,"spillover2","fp",63,"High","spillover2 fp",8,0,396,396,"Unambiguous","Inconsistent",396
"9652",12,26,"spillover2","fp",63,"High","spillover2 fp",7,1,0,NA,"Ambiguous","Inconsistent",NA
"9654",12,40,"spillover2","fp",63,"High","spillover2 fp",5,1,0,NA,"Ambiguous","Consistent",NA
"10471",13,47,"spillover2","fp",70,"High","spillover2 fp",6,0,522,522,"Unambiguous","Consistent",522
"10473",13,27,"spillover2","fp",70,"High","spillover2 fp",6,0,138,138,"Unambiguous","Consistent",138
"10475",13,41,"spillover2","fp",70,"High","spillover2 fp",8,0,308,308,"Unambiguous","Inconsistent",308
"10477",13,35,"spillover2","fp",70,"High","spillover2 fp",6,0,480,480,"Unambiguous","Consistent",480
"10479",13,37,"spillover2","fp",70,"High","spillover2 fp",8,0,130,130,"Unambiguous","Inconsistent",130
"10481",13,43,"spillover2","fp",70,"High","spillover2 fp",6,0,424,424,"Unambiguous","Consistent",424
"10483",13,44,"spillover2","fp",70,"High","spillover2 fp",7,0,260,260,"Ambiguous","Inconsistent",260
"10485",13,46,"spillover2","fp",70,"High","spillover2 fp",5,0,1126,1126,"Ambiguous","Consistent",1126
"10487",13,25,"spillover2","fp",70,"High","spillover2 fp",8,0,790,790,"Unambiguous","Inconsistent",790
"10489",13,30,"spillover2","fp",70,"High","spillover2 fp",5,0,474,474,"Ambiguous","Consistent",474
"10491",13,29,"spillover2","fp",70,"High","spillover2 fp",8,0,240,240,"Unambiguous","Inconsistent",240
"10493",13,31,"spillover2","fp",70,"High","spillover2 fp",6,0,432,432,"Unambiguous","Consistent",432
"10495",13,38,"spillover2","fp",70,"High","spillover2 fp",5,0,266,266,"Ambiguous","Consistent",266
"10497",13,32,"spillover2","fp",70,"High","spillover2 fp",7,0,474,474,"Ambiguous","Inconsistent",474
"10499",13,34,"spillover2","fp",70,"High","spillover2 fp",5,0,252,252,"Ambiguous","Consistent",252
"10501",13,26,"spillover2","fp",70,"High","spillover2 fp",5,0,174,174,"Ambiguous","Consistent",174
"10503",13,39,"spillover2","fp",70,"High","spillover2 fp",6,0,878,878,"Unambiguous","Consistent",878
"10505",13,33,"spillover2","fp",70,"High","spillover2 fp",8,0,420,420,"Unambiguous","Inconsistent",420
"10507",13,36,"spillover2","fp",70,"High","spillover2 fp",7,0,668,668,"Ambiguous","Inconsistent",668
"10509",13,48,"spillover2","fp",70,"High","spillover2 fp",7,0,322,322,"Ambiguous","Inconsistent",322
"10511",13,40,"spillover2","fp",70,"High","spillover2 fp",7,0,332,332,"Ambiguous","Inconsistent",332
"10513",13,45,"spillover2","fp",70,"High","spillover2 fp",8,0,516,516,"Unambiguous","Inconsistent",516
"10515",13,42,"spillover2","fp",70,"High","spillover2 fp",5,0,828,828,"Ambiguous","Consistent",828
"10517",13,28,"spillover2","fp",70,"High","spillover2 fp",7,0,218,218,"Ambiguous","Inconsistent",218
"11336",14,41,"spillover2","fp",72,"High","spillover2 fp",5,0,482,482,"Ambiguous","Consistent",482
"11338",14,34,"spillover2","fp",72,"High","spillover2 fp",6,0,216,216,"Unambiguous","Consistent",216
"11340",14,35,"spillover2","fp",72,"High","spillover2 fp",7,0,596,596,"Ambiguous","Inconsistent",596
"11342",14,27,"spillover2","fp",72,"High","spillover2 fp",7,1,0,NA,"Ambiguous","Inconsistent",NA
"11344",14,44,"spillover2","fp",72,"High","spillover2 fp",8,0,132,132,"Unambiguous","Inconsistent",132
"11346",14,33,"spillover2","fp",72,"High","spillover2 fp",5,0,420,420,"Ambiguous","Consistent",420
"11348",14,28,"spillover2","fp",72,"High","spillover2 fp",8,0,326,326,"Unambiguous","Inconsistent",326
"11350",14,26,"spillover2","fp",72,"High","spillover2 fp",6,0,274,274,"Unambiguous","Consistent",274
"11352",14,37,"spillover2","fp",72,"High","spillover2 fp",5,0,352,352,"Ambiguous","Consistent",352
"11354",14,36,"spillover2","fp",72,"High","spillover2 fp",8,1,0,NA,"Unambiguous","Inconsistent",NA
"11356",14,46,"spillover2","fp",72,"High","spillover2 fp",6,0,526,526,"Unambiguous","Consistent",526
"11358",14,29,"spillover2","fp",72,"High","spillover2 fp",5,0,236,236,"Ambiguous","Consistent",236
"11360",14,38,"spillover2","fp",72,"High","spillover2 fp",6,0,174,174,"Unambiguous","Consistent",174
